id;wkt;TileX;TileY;TileZ
11;POLYGON ((28.1744384765625 -3.055496502495956 0,28.175811767578125 -3.055496502495956 0,28.175811767578125 -3.056867840329076 0,28.1744384765625 -3.056867840329076 0,28.1744384765625 -3.055496502495956 0));151588;133298;18
12;POLYGON ((28.175811767578125 -3.055496502495956 0,28.17718505859375 -3.055496502495956 0,28.17718505859375 -3.056867840329076 0,28.175811767578125 -3.056867840329076 0,28.175811767578125 -3.055496502495956 0));151589;133298;18
13;POLYGON ((28.17718505859375 -3.055496502495956 0,28.178558349609375 -3.055496502495956 0,28.178558349609375 -3.056867840329076 0,28.17718505859375 -3.056867840329076 0,28.17718505859375 -3.055496502495956 0));151590;133298;18
14;POLYGON ((28.178558349609375 -3.055496502495956 0,28.179931640625 -3.055496502495956 0,28.179931640625 -3.056867840329076 0,28.178558349609375 -3.056867840329076 0,28.178558349609375 -3.055496502495956 0));151591;133298;18
15;POLYGON ((28.179931640625 -3.055496502495956 0,28.181304931640625 -3.055496502495956 0,28.181304931640625 -3.056867840329076 0,28.179931640625 -3.056867840329076 0,28.179931640625 -3.055496502495956 0));151592;133298;18
16;POLYGON ((28.181304931640625 -3.055496502495956 0,28.18267822265625 -3.055496502495956 0,28.18267822265625 -3.056867840329076 0,28.181304931640625 -3.056867840329076 0,28.181304931640625 -3.055496502495956 0));151593;133298;18
17;POLYGON ((28.18267822265625 -3.055496502495956 0,28.184051513671875 -3.055496502495956 0,28.184051513671875 -3.056867840329076 0,28.18267822265625 -3.056867840329076 0,28.18267822265625 -3.055496502495956 0));151594;133298;18
18;POLYGON ((28.184051513671875 -3.055496502495956 0,28.1854248046875 -3.055496502495956 0,28.1854248046875 -3.056867840329076 0,28.184051513671875 -3.056867840329076 0,28.184051513671875 -3.055496502495956 0));151595;133298;18
19;POLYGON ((28.1854248046875 -3.055496502495956 0,28.186798095703125 -3.055496502495956 0,28.186798095703125 -3.056867840329076 0,28.1854248046875 -3.056867840329076 0,28.1854248046875 -3.055496502495956 0));151596;133298;18
20;POLYGON ((28.186798095703125 -3.055496502495956 0,28.18817138671875 -3.055496502495956 0,28.18817138671875 -3.056867840329076 0,28.186798095703125 -3.056867840329076 0,28.186798095703125 -3.055496502495956 0));151597;133298;18
21;POLYGON ((28.1744384765625 -3.056867840329076 0,28.175811767578125 -3.056867840329076 0,28.175811767578125 -3.058239176409387 0,28.1744384765625 -3.058239176409387 0,28.1744384765625 -3.056867840329076 0));151588;133299;18
